model,description,train_auc,valid_auc,valid_auprc,weighted_acc,auroc_rank,competition_rank
default,Best discrimination,0.9243180482646215,0.8209039347977652,0.6261542056371298,0.6398104265402843,13,27
tuned,Best competition score,0.8397007845247589,0.7925853461941852,0.610742798733951,0.7590361445783133,18,6
