level,auc_roc,auc_pr,n_samples,n_positive
patient,0.8006453423120089,0.7387099189412096,206,44
recording_mean,0.8632162661737525,0.7540626915523154,661,120
recording_max,0.8650338878619839,0.7591666725980236,661,120
window,0.8501578866296982,0.7318708199513553,1322,240
